inplanes,resolution,batch_size,output_shape,shape_correct,FLOPs (GFLOPs),Params (M),Inference Time (ms),Memory Usage (MB)
16,32x32,1,tuple index out of range,False,Error,Error,Error,N/A
16,32x32,2,tuple index out of range,False,Error,Error,Error,N/A
16,32x32,4,tuple index out of range,False,Error,Error,Error,N/A
16,64x64,1,tuple index out of range,False,Error,Error,Error,N/A
16,64x64,2,tuple index out of range,False,Error,Error,Error,N/A
16,64x64,4,tuple index out of range,False,Error,Error,Error,N/A
16,128x128,1,tuple index out of range,False,Error,Error,Error,N/A
16,128x128,2,tuple index out of range,False,Error,Error,Error,N/A
16,128x128,4,tuple index out of range,False,Error,Error,Error,N/A
64,32x32,1,tuple index out of range,False,Error,Error,Error,N/A
64,32x32,2,tuple index out of range,False,Error,Error,Error,N/A
64,32x32,4,tuple index out of range,False,Error,Error,Error,N/A
64,64x64,1,tuple index out of range,False,Error,Error,Error,N/A
64,64x64,2,tuple index out of range,False,Error,Error,Error,N/A
64,64x64,4,tuple index out of range,False,Error,Error,Error,N/A
64,128x128,1,tuple index out of range,False,Error,Error,Error,N/A
64,128x128,2,tuple index out of range,False,Error,Error,Error,N/A
64,128x128,4,tuple index out of range,False,Error,Error,Error,N/A
256,32x32,1,tuple index out of range,False,Error,Error,Error,N/A
256,32x32,2,tuple index out of range,False,Error,Error,Error,N/A
256,32x32,4,tuple index out of range,False,Error,Error,Error,N/A
256,64x64,1,tuple index out of range,False,Error,Error,Error,N/A
256,64x64,2,tuple index out of range,False,Error,Error,Error,N/A
256,64x64,4,tuple index out of range,False,Error,Error,Error,N/A
256,128x128,1,tuple index out of range,False,Error,Error,Error,N/A
256,128x128,2,tuple index out of range,False,Error,Error,Error,N/A
256,128x128,4,tuple index out of range,False,Error,Error,Error,N/A
